Total Energy	Total Kpoints	Calculated Kpoints	Kpoints(X Y Z)	Lattice Constant	SYMPREC	ENCUT	KSPACING	VOLUME	POTIM	AMIX	BMIX	EDIFF	EDIFFG
-85.57729957	1	3	(1, 1, 1)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.26964865	12	7	(2, 3, 2)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.26082398	36	10	(3, 4, 3)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58361739	96	14	(4, 6, 4)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.61684761	175	17	(5, 7, 5)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.5970087	288	20	(6, 8, 6)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.56749412	420	23	(7, 10, 6)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.56827793	616	26	(8, 11, 7)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58056471	936	30	(9, 13, 8)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58907388	1260	33	(10, 14, 9)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58478728	1650	36	(11, 15, 10)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58032449	2244	40	(12, 17, 11)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.57979153	2808	43	(13, 18, 12)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58254746	3640	47	(14, 20, 13)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58515188	4410	50	(15, 21, 14)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58408156	5520	54	(16, 23, 15)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58206977	6528	57	(17, 24, 16)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58176926	7650	60	(18, 25, 17)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58279797	8721	63	(19, 27, 17)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.5837586	10080	66	(20, 28, 18)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
-90.58352207	11970	70	(21, 30, 19)	5.697	1e-05	480.0	None	None	0.5	None	None	1e-06	-0.001
